abricot
100
44
abricots secs
100
200
actimel
100
85
activia
100
100
agneau
100
250
aile de raie
100
91
airelles
100
25
amandes
100
578
ananas
100
50
anchois
100
302
andouillette
100
235
arbouse
100
105
artichaut
100
36
asperges
100
28
aubergine
100
18
avocat
100
220
babybel
100
315
badoit
100
0
baies de goji
100
370
banane
100
90
bar
100
98
batavia
100
25
batonnet coraya
100
118
betterave rouge
100
96
beurre
100
750
bière
100
438
blanc de dinde
100
100
blanc d'oeuf
100
44
bleu
100
410
bœuf tartare
100
125
boudin blanc
100
186
boudin noir
100
367
boursin
100
405
brie
100
330
brique de chevre
100
302
brocoli
100
25
brugnon
100
60
burn
100
24
cabillaud
100
78
cacahuetes
100
560
cacolac
100
70
cafe
100
16
calamar
100
87
camembert
100
297
canard
100
186
cancoillotte
100
118
canneberge
100
28
cantal
100
386
carambole
100
40
carottes
100
35
carpe
100
110
cassis
100
54
caviar
100
330
céleri
100
10
cèpes
100
27
cerise
100
65
cervelas
100
320
chair à saucisse
100
375
champagne
100
60
champignons
100
30
champomy
100
55
chataignes
100
150
chicoree
100
424
chipolata
100
189
chou
100
26
chou blanc
100
23
choux de Bruxelles
100
30
chou-fleur
100
30
chou rouge
100
36
chou vert
100
37
citron
100
30
citrouille
100
26
clémentine
100
45
coca cola
100
42
cœur de palmier
100
56
coing
100
59
colin
100
90
comte
100
416
concombre
100
12
contrex
100
0
coquille saint jacques
100
90
courgette
100
33
cordon bleu
100
192
cornichons
100
12
coulommiers
100
283
crabe
100
80
cranberries
100
308
creme fraiche
100
300
creme liquide
100
185
crevettes
100
80
cuisse de poulet
100
161
curacao
100
270
danao
100
50
dattes
100
304
dés de jambon
100
106
échalote
100
75
edam
100
353
émincés de porc/poulet
100
125
emmental
100
380
endive
100
15
entrecôte bœuf
100
226
épinards
100
23
escalope de dinde
100
199
espadon
100
116
evian
100
0
fanta
100
40
feta
100
292
figue
100
37
filet de poulet
100
118
filet mignon
100
120
flageolets
100
70
foie gras
100
507
foie de lotte
100
320
fraise
100
32
framboise
100
58
frites
100
408
fromage à raclette
100
357
fromage blanc
100
83
gambas
100
98
gésiers de canard
100
155
gin
100
266
girolles
100
26
gorgonzola
100
415
gouda
100
341
goyave
100
52
grenade
100
75
groseille
100
46
gruyere
100
392
haddock
101
101
hamburger
100
200
hareng
100
122
haricots blancs
100
90
haricots vert
100
25
hot-dog
100
300
homard
100
94
huitres
100
73
ice tea
100
26
jambon
100
109
jambon cru
100
268
jambon cuit
100
290
jus d'abricot
100
60
jus d'ananas
100
51
jus d'orange
100
48
jus de carottes
100
32
jus de cassis
100
20
jus de citron
100
15
jus de cranberry
100
49
jus de fraise
100
36
jus de grenade
100
70
jus de mandarine
100
45
jus de pamplemousse
100
42
jus de poire
100
64
jus de peche
100
52
jus de pomme
100
45
jus de raison
100
62
jus de tomate
100
20
kaki
100
66
kiri
100
330
kirsh
100
250
kiwi
100
53
knacki
100
290
lait de coco
100
210
lait de riz
100
47
lait de soja
100
69
lait de vache
100
47
laitue
100
15
langoustine
100
90
langue de bœuf
100
258
lard
100
670
lardons fumés
100
250
lentilles
100
88
lieu
100
85
limande
100
91
litchi
100
75
livarot
100
354
lotte
100
86
maasdam
100
369
macédoine de légumes
100
45
mâche
100
26
magret de canard
100
170
mais
100
72
mandarine
100
41
mangue
100
63
maquereau
100
184
maroille
100
341
marrons
100
175
melon
100
38
merguez
11
279
mimolette
100
321
mirabelles
100
58
morbier
100
347
morue
100
251
moules
100
70
mouton côtelettes
100
216
mozzarella
100
317
multifruits
100
40
munster
100
320
mures
100
52
myrtilles
100
70
navet
100
34
nectarine
100
59
noisettes
100
635
noix
100
663
noix de cajou
100
583
noix de coco
100
630
noix de pecan
100
693
noix de saint jacques
100
63
nuggets
100
236
oasis
100
40
œuf à la coque
100
146
œuf à la neige
100
159
œuf au plat
100
185
œuf brouillé
100
166
œuf de caille
100
153
œuf de cane
100
204
œuf de poule
100
160
œuf dur
100
146
œufs mimosas
100
216
œuf poché
100
147
omelette
100
147
oignon
100
43
olive noire
100
294
olive verte
100
105
orange
100
45
pamplemousse
100
40
papaye
100
44
parmesan
100
395
pasteque
100
31
paupiette de veau
100
242
persil
100
26
petits pois
100
74
petit suisse
100
132
pignons de pin
100
685
pineau
100
117
pistache
100
630
poire
100
60
poireau
100
31
pois chiches
100
171
poitrine fumée
100
353
poivron
100
19
pomme
100
54
pomme de terre
100
80
potiron
100
31
pousse de bambou
100
16
pruneaux
100
173
pulco
100
29
quenelles de volaille
100
190
quinoa
100
361
radis
100
18
raisin
100
74
raisins secs
100
290
ratatouille
100
31
ravioli
100
247
reblochon
100
354
red bull
100
45
requin
100
106
rhubarbe
100
18
rillettes de saumon
100
241
ricard
100
250
riz
100
345
roquefort
100
368
rôti de bœuf
100
148
rôti de porc
100
243
salami
100
350
saint agur
100
365
sardine
100
142
saumon
100
206
schweppes
100
36
seiche
100
68
sirop
100
300
soja
100
21
sole
100
75
steak autruche
100
99
steak haché 5 %
100
160
steak haché 10 %
100
250
thon
100
110
tomates
110
20
tomates farcies
100
103
tourteau
100
85
tripes
100
110
truite
100
100
turbot
100
118
vache qui rit
100
268
vin blanc
100
72
vin rouge
100
67
yaourt
100
98
yop
100
79
